,index,count,cum_sum,cum_percent
127,Sonnenblumenkernbrötchen,6105,3491147,80.46334888600637
128,Potatoebrötchen dunkel,6093,3497240,80.60377929032978
129,Cafeteria,5918,3503158,80.74017632508867
130,Gut & Günstig 1,5853,3509011,80.87507525115217
131,Potatoebrötchen hell,5789,3514800,81.00849911634634
132,"Cafeteria "" Snack it """,5725,3520525,81.14044792067122
133,E,5593,3526118,81.26935441195316
134,Beilagenauswahl,5435,3531553,81.39461934671398
135,Gemüse/Salat,5407,3536960,81.51923894234449
136,"Pasta, Suppen & Co.",5340,3542300,81.64231433362743
137,Tagesessen,5268,3547568,81.76373028143239
138,Hauptkomponente,5170,3552738,81.88288754228124
139,Vorspeise,5153,3557891,82.00165299008667
140,Mittagsangebot,5153,3563044,82.12041843789211
141,Mittag Ausgabe B,5047,3568091,82.23674081613274
142,Linie 1,4936,3573027,82.35050488567818
143,Aus dem Wok,4931,3577958,82.4641537160932
144,Sonstige,4915,3582873,82.57743378129088
145,Otto-Berndt-Halle,4910,3587783,82.69059860735815
146,WOK 1 Aktion,4860,3592643,82.80261104212128
147,mensaVital,4795,3597438,82.91312536818903
148,Essen 8,4739,3602177,83.02234901599611
149,GreenCorner,4693,3606870,83.13051246380338
150,Menü 3,4630,3611500,83.23722389856744
151,Zusatzangebot,4556,3616056,83.34222979420134
152,Täglich,4534,3620590,83.44672863766144
153,A+B,4527,3625117,83.55106614633895
154,Wahlessen,4505,3629622,83.65489660284263
155,Mittag Ausgabe C,4489,3634111,83.75835829412898
156,Wahlessen 3,4381,3638492,83.85933082019838
157,Speisenangebot,4308,3642800,83.95862085496371
158,FRIENDS,4215,3647015,84.05576744190334
159,SÜSSE ECKE,4214,3651229,84.1528909810169
160,Menü II,4200,3655429,84.24969185056527
161,Curry Queen,4191,3659620,84.3462852896789
162,Pizza des Tages,4130,3663750,84.44147281140148
163,Tagesgericht 2,4091,3667841,84.53576146790682
164,QUEERBEET,4084,3671925,84.62988878962958
165,Tagesgericht 2 (Vegetarisch),4044,3675969,84.72309419830903
166,Self-Service Arcisstraße,4032,3680001,84.81602303307547
167,EVERGREENS,4030,3684031,84.90890577218975
168,Menü II vegetarisch,3975,3688006,85.00052088086947
169,Aktionsessen 4,3937,3691943,85.09126017215804
170,Aktions-Theke,3887,3695830,85.18084707214246
171,Free Flow,3869,3699699,85.27001911125738
172,MEER,3804,3703503,85.35769304167692
173,Front Cooking,3792,3707295,85.44509039818347
174,Mittag Ausgabe D,3778,3711073,85.53216508512484
175,Burger Classics,3763,3714836,85.61889405467498
176,Bistro,3758,3718594,85.7055077850947
177,Suppenstation,3744,3722338,85.79179884594924
178,Rind,3689,3726027,85.87682227636925
179,Abendangebot,3645,3729672,85.96083160244159
180,Komplettmenü,3604,3733276,86.04389596764453
181,Classic 1,3602,3736878,86.12691423719532
182,VEGAN,3588,3740466,86.20960983718093
183,Cafeteria Pizza & Co,3583,3744049,86.29219019803614
184,Extra Essen,3537,3747586,86.37371035889153
185,Essen 9,3461,3751047,86.45347888496461
186,Ciabattabrötchen,3344,3754391,86.530550815386
187,MUNTER,3328,3757719,86.60725398059003
188,Schnitzelbar,3328,3761047,86.6839571457941
189,Kornspitz,3323,3764370,86.76054507186774
190,zur Pizza,3318,3767688,86.83701775881096
191,Classic 2,3229,3770917,86.9114391892328
192,Special,3191,3774108,86.98498480226348
193,"Vegan, Eintopf, Suppe",3166,3777274,87.0579542196421
194,Menü vegetarisch,3122,3780396,87.12990953267305
195,Tagesmenü,3112,3783508,87.20163436744319
196,Mittag Ausgabe A2,3044,3786552,87.27179195003968
197,Vital - Essen,3016,3789568,87.34130419350586
198,Heimspiel,3006,3792574,87.41058595871121
199,Terrine,2968,3795542,87.4789919065254
200,zur Pasta,2957,3798499,87.54714432825267
201,Aufläufe & Gratin,2887,3801386,87.61368340215414
202,Pastabar,2877,3804263,87.67999199779479
203,Wellenreiterbrötchen,2876,3807139,87.74627754560935
204,D,2825,3809964,87.81138765429367
205,Marktrestaurant,2818,3812782,87.87633642819543
206,Essen B,2798,3815580,87.94082424557551
207,Food Angebot im Schlüters,2775,3818355,88.00478196295569
208,Bio,2749,3821104,88.06814043685772
209,Mensacafé,2731,3823835,88.13108404989025
210,Aktionsessen 5,2720,3826555,88.19377413683587
211,Rind Schwein,2720,3829275,88.25646422378148
212,Pommes & Co,2705,3831980,88.31880859333586
213,Gericht mit Fleisch oder Fisch,2682,3834662,88.38062286289032
214,Angebot,2676,3837338,88.4422988454883
215,Tagesaktion,2616,3839954,88.5025919585213
216,Sprintmenü,2602,3842556,88.56256240198913
217,Beilage 3,2576,3845132,88.6219336019788
218,Essen C,2565,3847697,88.68105127588156
219,Ausgabe 2,2559,3850256,88.74003066282782
220,Dessertbuffet,2514,3852770,88.79797289760035
221,Essen 10,2502,3855272,88.85563855845989
222,Wok & Grill,2484,3857756,88.91288935844993
223,Auflauf,2472,3860228,88.96986358452698
224,Essen A,2440,3862668,89.02610028016937
225,Beilage 2,2417,3865085,89.08180687581186
226,MA(h)l was anderes,2381,3867466,89.13668374971536
227,Essen V,2372,3869838,89.19135319318411
228,Otto B.,2338,3872176,89.24523901056605
229,Fisch MSC Fisch,2306,3874482,89.29838729751333
230,Suppe & Co,2275,3876757,89.35082110185203
231,WOK-Pfanne Premium,2259,3879016,89.40288614097341
232,Sonstiges,2255,3881271,89.45485898879046
233,Ausgabe 1,2241,3883512,89.50650916704235
234,[Kœri]werk,2227,3885739,89.55783667572908
235,Beilage 1,2221,3887960,89.6090258974593
236,Alternativ-Angebot,2205,3890165,89.6598463539722
237,A,2200,3892365,89.71055157135469
238,Suppe & Co.,2195,3894560,89.76114154960676
239,Dessert 1,2171,3896731,89.81117838003284
240,Fisch,2166,3898897,89.8610999713285
241,Mittag Ausgabe B2,2164,3901061,89.910975466972
242,Cafeteria ab 14:30,2156,3903217,89.96066658000684
243,Wok und Pfanne,2156,3905373,90.01035769304167
244,Grillstation,2153,3907526,90.05997966259827
245,CampusKlassiker,2112,3909638,90.10865667128544
246,Länder-Mensa,2089,3911727,90.15680357997273
247,Ausgabe 4,2074,3913801,90.20460477126876
248,Aktionsessen 6,2073,3915874,90.25238291473872
249,Fit & Vital,2068,3917942,90.30004581907825
250,Süßspeise,2036,3919978,90.34697119298313
251,MA(h)l mit Fleisch,2020,3921998,90.39352780167069
252,BLS Spezial,2017,3924015,90.44001526688
253,Vollkornbrötchen,2010,3926025,90.48634139730673
254,Hauptbeilage,1983,3928008,90.53204523642921
255,OMeGa-Suppenbar,1976,3929984,90.57758774076912
256,Ofenkartoffel,1971,3931955,90.6230150059786
257,Eintopf / Suppe,1951,3933906,90.66798131466643
258,HEIMSPIEL,1927,3935833,90.71239447552828
259,Gemüsegarten,1911,3937744,90.75643887117279
260,Nudeltheke,1906,3939650,90.8003680276869
261,Bistro - Bistro,1900,3941550,90.8441588972445
262,Vegetaria,1885,3943435,90.88760404941085
263,Aktionsteller,1883,3945318,90.93100310592504
264,Pottkieker,1881,3947199,90.97435606678707
265,Tellergericht II,1879,3949078,91.01766293199692
266,Tellergericht I,1873,3950951,91.0608315102503
267,Restaurant,1867,3952818,91.10386180154715
268,Ausgabe 3,1860,3954678,91.14673075806144
269,Gut & Günstig 2,1853,3956531,91.18943837979315
270,StuBistro Self-Service,1823,3958354,91.23145456674236
271,Komplett Menü,1806,3960160,91.27307894064816
272,Bistro Gourmet Fleisch,1791,3961951,91.31435759716273
273,Bistro Gourmet Fisch,1787,3963738,91.35554406237296
274,CampusWorld,1777,3965515,91.39650004932236
275,Aktionsessen 3,1774,3967289,91.4373868927935
276,Vital Linie,1770,3969059,91.47818154496031
277,Fingerfood,1753,3970812,91.51858438408372
278,Mensagarten,1752,3972564,91.55896417538105
279,Tellergericht 2,1739,3974303,91.5990443449393
280,Campusteller,1726,3976029,91.63882489275846
281,Prima Klima,1724,3977753,91.67855934492547
282,Diverses,1687,3979440,91.7174410275274
283,MA(h)l vegetarisch,1683,3981123,91.75623051882499
284,"EG Nord, 11.30 - 14.30 Uhr",1675,3982798,91.79483562751393
285,Menü III,1671,3984469,91.83334854489856
286,Worldwide,1645,3986114,91.871262218805
287,Salate und Desserts,1644,3987758,91.90915284488537
288,Essen 11,1634,3989392,91.9468129927049
289,Mittag 1,1632,3991024,91.98442704487228
290,MA(h)l vegan,1604,3992628,92.02139575790932
291,CampusSpezial,1594,3994222,92.05813399268554
292,Food Angebot im Café ZessP,1581,3995803,92.09457260572268
293,Meisterwerk,1570,3997373,92.13075769267292
294,Menü 2 vegetarisch,1548,3998921,92.16643572744931
295,Menü vegan/vegetarisch,1538,4000459,92.20188328396489
296,Late Lunch vegetarisch,1520,4001979,92.23691597961097
297,Schwein Fisch,1510,4003489,92.27171819699622
298,Late Lunch,1506,4004995,92.30642822307715
299,Wok & Pfanne,1501,4006496,92.34102301002764
300,Beilagen ,1483,4007979,92.37520293610866
301,Food Angebot im Café Mittelweg,1464,4009443,92.4089449534941
302,Salate & Desserts,1459,4010902,92.44257173174911
303,Cafeteria Tagesgericht,1453,4012355,92.47606022304764
304,Cafeteria Menü,1450,4013805,92.50947957086791
305,WOK-Pfanne,1446,4015251,92.54280672738386
306,Tagesangebot 1,1437,4016688,92.57592645346506
307,QUERBEET,1433,4018121,92.60895398824192
308,Pasta- und Gemüsetheke,1422,4019543,92.64172799693188
309,Tagesangebot 8,1415,4020958,92.67434067083926
310,Beilagen: Suppen,1404,4022362,92.7066998186597
311,Theke,1387,4023749,92.73866715343675
