,index,count,cum_sum,cum_percent,meal_super_category
1798,Kalte Snacks,3,4369197,99.98059517,
1799,xAktionen OG,3,4369200,99.98066381,
1800,Frisches vom Grill,3,4369203,99.98073246,
1801,Reserviert für Brückenbausymposium,3,4369206,99.98080111,
1802, Hauptgericht HK 4 ,3,4369209,99.98086976,
1803,Angebot Food Hopper,3,4369212,99.98093841,
1804,Empore,3,4369215,99.98100706,
1805,Cafeteria Angebot von 8:00-15:30 Uhr !,3,4369218,99.98107571,
1806,Delicious take away #FRITTEN Fleischlose Alternative,3,4369221,99.98114436,
1807,x Abendessen Mensa X,3,4369224,99.98121301,
1808,Pasta - mensaVital,3,4369227,99.98128166,
1809,"Pizza ""StraNa""",3,4369230,99.98135031,
1810,Pizza ,3,4369233,99.98141896,
1811,ASIA Aktionstage,3,4369236,99.9814876,
1812,Aktionswoche Bärlauchwoche,3,4369239,99.98155625,
1813,Aktionswoche Duck döner,3,4369242,99.9816249,
1814,WokVital,3,4369245,99.98169355,
1815,Aktionsgericht,3,4369248,99.9817622,
1816,Aktion Campus-Cooking,3,4369251,99.98183085,
1817,Suppen/Eintöpfe,3,4369254,99.9818995,
1818,Tschechische Tage,2,4369256,99.98194527,
1819,Spanien,2,4369258,99.98199103,
1820,Burger am Wok,2,4369260,99.9820368,
1821,Cafeteria Herzhaft,2,4369262,99.98208256,
1822,Schweiz,2,4369264,99.98212833,
1823,Frankreich,2,4369266,99.9821741,
1824,zzzFischgericht,2,4369268,99.98221986,
1825,Aktion Tandem heute,2,4369270,99.98226563,
1826,Forum_TOGO,2,4369272,99.98231139,
1827,Hinweis Für Displays,2,4369274,99.98235716,
1828,Cafeteria Menü vegan,2,4369276,99.98240293,
1829,Tellergericht 4 d,2,4369278,99.98244869,
1830,Hinweis 1,2,4369280,99.98249446,
1831,Menüauswahl,2,4369282,99.98254023,
1832,"BEILAGEN, SALATE",2,4369284,99.98258599,
1833,Brötchen-Angebot   08:00-11:00 Uhr,2,4369286,99.98263176,
1834,QUERBEET | MG Nord 11.30 - 14.00 Uhr,2,4369288,99.98267752,
1835,Kombi-Angebot,2,4369290,99.98272329,
1836,Italien,2,4369292,99.98276906,
1837,Dessert 4,2,4369294,99.98281482,
1838,alles frisch - für den kleinen Appetit,2,4369296,99.98286059,
1839,Frische Pasta-Heute,2,4369298,99.98290635,
1840,"Beilagen, Salate",2,4369300,99.98295212,
1841,Tagesgerichte,2,4369302,99.98299789,
1842,Wildaktionsgericht,2,4369304,99.98304365,
1843,Unser Angebot zum Fit & Fun Tag,2,4369306,99.98308942,
1844,"Hühnchen mit Ananas, Pfirsich und knackigem Gemüse in Curry, dazu gebratene Nudeln (Auch vegan möglich",2,4369308,99.98313519,
1845,Ab 14:00 Uhr,2,4369310,99.98318095,
1846,Battle Fleisch,2,4369312,99.98322672,
1847,Tagesangebot- Nur solange der Vorrat reicht,2,4369314,99.98327248,
1848,Das grüne Glück,2,4369316,99.98331825,
1849,zzzHauptkomponenten,2,4369318,99.98336402,
1850,Tag der gesunden Ernährung,2,4369320,99.98340978,
1851,"Cafeteria ""StraNa""",2,4369322,99.98345555,
1852,Aktionstheke B,2,4369324,99.98350131,
1853,Aktionstheke A,2,4369326,99.98354708,
1854,Zum Dessert,2,4369328,99.98359285,
1855,Heiße Theke - Pastatheke,2,4369330,99.98363861,
1856,Essen 4 - Oktoberfest,2,4369332,99.98368438,
1857,Essen 1 - GO-Next,2,4369334,99.98373014,
1858,Essen 1-Sächsische Woche,2,4369336,99.98377591,
1859,Speisenangebot 4,2,4369338,99.98382168,
1860,Cafeteria ,2,4369340,99.98386744,
1861,Aktion Spargel,2,4369342,99.98391321,
1862,Pastasoße wahlweise,2,4369344,99.98395898,
1863,Tagesangebot-Nur solange der Vorrat reicht,2,4369346,99.98400474,
1864,Essen1,2,4369348,99.98405051,
1865,Pizza-Point,2,4369350,99.98409627,
1866,Azubiessen,2,4369352,99.98414204,
1867,Unsere Azubis kochen für Sie,2,4369354,99.98418781,
1868,Angebot in der 1.Etage! Pasta,2,4369356,99.98423357,
1869,Herbstfestangebot im Erdgeschoss,2,4369358,99.98427934,
1870,Nordsee Seelachs Burger,2,4369360,99.9843251,
1871,Chicken Burger,2,4369362,99.98437087,
1872,Welt-Klimatag,2,4369364,99.98441664,
1873,Cafeteria Angebot von 8:00.15:30 Uhr!,2,4369366,99.9844624,
1874,Ofen - mensaVital,2,4369368,99.98450817,
1875,Schneller Teller 3,2,4369370,99.98455393,
